latitude,longitude,town,postcode,epci,county,images/0,images/1,images/2,images/3,images/4,images/5,images/6,images/7,images/8,images/9,images/10,images/11,images/12,images/13
45.617575176447346,0.1323049378070481,La Couronne,16400,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_c0a731d28b.jpg,,,,,,,,,,,,,
45.601526357906614,0.26369648357239084,Dirac,16410,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_3c1707e644.jpg,https://api.v2.clean2gether.com/uploads/c2g_upload_b163b1a065.jpg,https://api.v2.clean2gether.com/uploads/c2g_upload_1e391e13aa.jpg,,,,,,,,,,,
45.68670232638348,0.16878202557563782,Gond-Pontouvre,16160,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_4dc2d990dd.jpg,,,,,,,,,,,,,
45.60805961083825,0.12439816277277652,La Couronne,16400,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_07e697980b.jpg,,,,,,,,,,,,,
45.615848971312474,0.13226831946636458,La Couronne,16400,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_9c420998a1.jpg,,,,,,,,,,,,,
45.64612158758866,0.08251413702964783,Linars,16730,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_e3b169ec3f.jpg,,,,,,,,,,,,,
45.60354533545953,0.13907991349697113,La Couronne,16400,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_670e6a975a.jpg,,,,,,,,,,,,,
45.72709379227132,0.2249404415488243,Champniers,16430,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_3d4bd03b96.jpg,,,,,,,,,,,,,
45.64719319703911,0.23451592773199081,Soyaux,16800,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_59f238a1ab.jpg,,,,,,,,,,,,,
45.60083800492532,0.11409332382872812,La Couronne,16400,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/c2g_upload_76017e2d87.jpg,,,,,,,,,,,,,
