lon;lat
-5.000000;40.000000
-4.955254;40.000000
-4.910504;40.000000
-4.865752;40.000000
-4.820996;40.000000
-4.776238;40.000000
-4.731477;40.000000
-4.686713;40.000000
-4.641946;40.000000
-4.597176;40.000000
-4.552403;40.000000
-4.507628;40.000000
-4.462850;40.000000
-4.418069;40.000000
-4.373285;40.000000
-4.328499;40.000000
-4.283710;40.000000
-4.238918;40.000000
-4.194124;40.000000
-4.149327;40.000000
-4.104528;40.000000
-4.059726;40.000000
-4.014922;40.000000
-5.000000;40.044916
-4.955254;40.044916
-4.910504;40.044916
-4.865752;40.044916
-4.820996;40.044916
-4.776238;40.044916
-4.731477;40.044916
-4.686713;40.044916
-4.641946;40.044916
-4.597176;40.044916
-4.552403;40.044916
-4.507628;40.044916
-4.462850;40.044916
-4.418069;40.044916
-4.373285;40.044916
-4.328499;40.044916
-4.283710;40.044916
-4.238918;40.044916
-4.194124;40.044916
-4.149327;40.044916
-4.104528;40.044916
-4.059726;40.044916
-4.014922;40.044916
-5.000000;40.089832
-4.955254;40.089832
-4.910504;40.089832
-4.865752;40.089832
-4.820996;40.089832
-4.776238;40.089832
-4.731477;40.089832
-4.686713;40.089832
-4.641946;40.089832
-4.597176;40.089832
-4.552403;40.089832
-4.507628;40.089832
-4.462850;40.089832
-4.418069;40.089832
-4.373285;40.089832
-4.328499;40.089832
-4.283710;40.089832
-4.238918;40.089832
-4.194124;40.089832
-4.149327;40.089832
-4.104528;40.089832
-4.059726;40.089832
-4.014922;40.089832
-5.000000;40.134747
-4.955254;40.134747
-4.910504;40.134747
-4.865752;40.134747
-4.820996;40.134747
-4.776238;40.134747
-4.731477;40.134747
-4.686713;40.134747
-4.641946;40.134747
-4.597176;40.134747
-4.552403;40.134747
-4.507628;40.134747
-4.462850;40.134747
-4.418069;40.134747
-4.373285;40.134747
-4.328499;40.134747
-4.283710;40.134747
-4.238918;40.134747
-4.194124;40.134747
-4.149327;40.134747
-4.104528;40.134747
-4.059726;40.134747
-4.014922;40.134747
-5.000000;40.179663
-4.955254;40.179663
-4.910504;40.179663
-4.865752;40.179663
-4.820996;40.179663
-4.776238;40.179663
-4.731477;40.179663
-4.686713;40.179663
-4.641946;40.179663
-4.597176;40.179663
-4.552403;40.179663
-4.507628;40.179663
-4.462850;40.179663
-4.418069;40.179663
-4.373285;40.179663
-4.328499;40.179663
-4.283710;40.179663
-4.238918;40.179663
-4.194124;40.179663
-4.149327;40.179663
-4.104528;40.179663
-4.059726;40.179663
-4.014922;40.179663
-5.000000;40.224579
-4.955254;40.224579
-4.910504;40.224579
-4.865752;40.224579
-4.820996;40.224579
-4.776238;40.224579
-4.731477;40.224579
-4.686713;40.224579
-4.641946;40.224579
-4.597176;40.224579
-4.552403;40.224579
-4.507628;40.224579
-4.462850;40.224579
-4.418069;40.224579
-4.373285;40.224579
-4.328499;40.224579
-4.283710;40.224579
-4.238918;40.224579
-4.194124;40.224579
-4.149327;40.224579
